"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","100","88","188","54"
"性器ヘルペスウイルス感染症","38","24","62","54"
"尖圭コンジローマ","94","44","138","54"
"淋菌感染症","66","22","88","54"
"膣トリコモナス症","1","14","15","54"
"梅毒様疾患","0","0","0","54"
"メチシリン耐性黄色ブドウ球菌感染症","33","29","62","25"
"ペニシリン耐性肺炎球菌感染症","1","1","2","25"
"薬剤耐性緑膿菌感染症","1","0","1","25"
