"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","33","2","2","7","66","15","2","4","5","0","0","1","1","0","0","2","0","1","0","0","1","","","","","",""
"区南部","33","3","3","14","127","23","0","2","6","0","0","3","0","1","0","0","0","0","2","0","0","","","","","",""
"区西南部","47","4","2","6","124","16","2","3","4","0","0","1","2","0","0","1","0","3","1","0","1","","","","","",""
"区西部","29","4","1","20","133","12","1","0","4","0","0","7","0","0","0","4","0","0","1","0","0","","","","","",""
"区西北部","73","1","1","19","151","22","3","2","8","0","0","5","1","0","0","0","0","0","1","0","1","","","","","",""
"区東北部","94","4","6","18","164","23","2","3","8","0","1","1","1","0","0","1","0","0","2","0","1","","","","","",""
"区東部","75","9","4","24","174","43","2","6","9","0","2","2","2","0","0","0","0","0","0","0","1","","","","","",""
"西多摩","17","0","3","5","30","8","1","0","2","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","76","4","1","37","234","57","1","6","10","1","2","4","3","1","0","1","0","0","0","0","1","","","","","",""
"北多摩西部","44","2","0","10","63","15","0","1","2","0","0","2","3","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","43","1","3","13","93","24","4","5","4","0","0","1","0","1","0","2","0","0","3","0","1","","","","","",""
"北多摩北部","68","4","6","23","99","12","1","1","10","1","0","2","0","1","0","5","0","0","1","0","0","","","","","",""
"島しょ","6","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","638","38","32","196","1458","270","19","37","72","2","5","30","14","4","0","16","0","4","11","0","7","","","","","",""
