"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","21","3","3","6","12","2","11","1","5","1","7","2","0","0","0","3","0","1","1","0","","","","","",""
"区南部","41","1","2","1","21","2","6","4","11","0","10","3","2","0","0","0","0","0","0","0","","","","","",""
"区西南部","44","0","0","1","10","1","2","0","2","0","1","1","0","1","0","1","0","0","0","0","","","","","",""
"区西部","49","2","1","3","24","5","13","1","4","0","2","3","2","0","0","2","0","0","0","0","","","","","",""
"区西北部","59","0","3","3","7","1","7","2","1","4","2","1","1","0","0","1","0","0","0","0","","","","","",""
"区東北部","34","0","1","2","11","4","7","1","8","0","12","2","1","1","1","1","0","0","1","0","","","","","",""
"区東部","37","1","2","1","28","1","15","0","5","0","17","6","2","0","0","1","0","0","0","0","","","","","",""
"西多摩","8","1","0","1","5","1","4","0","3","0","0","18","0","0","0","1","0","0","2","0","","","","","",""
"南多摩","32","1","0","7","23","5","7","8","5","0","21","13","1","0","0","1","0","0","0","0","","","","","",""
"北多摩西部","13","0","0","1","1","0","1","0","1","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","32","0","0","0","6","1","1","1","1","0","1","5","4","0","0","1","0","1","1","0","","","","","",""
"北多摩北部","21","2","0","3","15","2","2","1","2","1","6","6","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","400","11","12","29","163","25","76","19","48","6","80","64","13","2","1","13","0","2","5","0","","","","","",""
