"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","2","0"
"1〜4歳","0","0","0","0","0","0","2","2","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","1","0","0","0","1","0","0"
"20〜24歳","26","3","9","10","0","0","0","0","0"
"25〜29歳","31","10","13","13","0","0","1","0","0"
"30〜34歳","32","8","16","19","1","0","0","0","0"
"35〜39歳","23","9","11","11","0","0","1","0","0"
"40〜44歳","13","6","10","12","1","0","2","0","0"
"45〜49歳","9","5","7","9","0","0","0","0","0"
"50〜54歳","8","2","7","2","0","0","1","0","0"
"55〜59歳","3","5","5","1","0","0","1","0","0"
"60〜64歳","2","3","3","1","0","0","2","1","0"
"65〜69歳","1","1","1","0","0","0","1","0","0"
"70歳以上","0","3","1","0","0","0","16","1","0"
"合計","150","55","84","78","2","0","32","6","0"
