"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","185","112","3","1","32","98","3","1","2","1","0","0","1","0","0","1","0","1","0","0","0","0","8","","","","","",""
"区南部","339","129","1","5","38","86","1","1","1","3","0","1","0","0","0","1","0","0","0","0","0","0","7","","","","","",""
"区西南部","349","109","1","1","22","87","1","1","2","1","0","1","0","1","0","3","0","0","0","0","0","3","10","","","","","",""
"区西部","321","175","1","6","42","81","9","2","2","2","0","0","0","1","0","0","0","0","2","0","0","2","11","","","","","",""
"区西北部","497","319","1","1","65","113","3","0","2","3","0","1","1","0","0","0","0","0","0","0","0","3","3","","","","","",""
"区東北部","397","235","1","8","43","83","2","2","0","4","0","0","0","0","0","2","0","0","0","0","0","4","1","","","","","",""
"区東部","351","226","2","4","44","110","2","2","1","1","0","1","1","0","0","0","0","0","0","0","0","1","4","","","","","",""
"西多摩","109","62","0","0","7","30","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"南多摩","551","238","3","5","50","115","1","2","0","3","0","2","0","0","0","2","0","0","0","0","0","0","2","","","","","",""
"北多摩西部","276","122","1","2","39","37","1","0","0","2","0","1","0","1","0","0","0","0","0","0","0","1","1","","","","","",""
"北多摩南部","434","166","1","5","48","83","1","0","2","2","1","2","2","0","0","2","0","0","0","0","0","4","15","","","","","",""
"北多摩北部","343","109","1","6","39","94","0","1","1","3","0","0","0","0","0","1","0","0","0","0","0","2","6","","","","","",""
"島しょ","3","40","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4155","2042","16","44","470","1017","26","12","13","25","1","10","5","3","0","12","0","1","2","0","0","20","70","","","","","",""
