"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","3","0","0","21","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","12","0","0","52","9","4","0","48","0","0","3","0","0","3","0","0","1","1","0","0","0","0"
"1歳","4","8","3","8","76","14","23","3","44","0","0","8","0","1","5","0","0","1","0","0","0","0","0"
"2歳","3","2","2","6","48","15","15","0","3","0","0","7","0","3","0","0","0","0","0","0","0","0","0"
"3歳","9","2","5","17","44","8","10","4","0","0","0","8","0","4","1","0","0","0","0","0","0","0","0"
"4歳","11","2","2","16","46","9","12","3","0","1","0","3","0","4","0","0","0","0","0","0","0","0","0"
"5歳","22","0","3","36","39","3","4","3","0","0","0","3","0","2","0","0","0","1","0","0","1","0","0"
"6歳","21","0","3","37","34","7","3","4","1","1","0","1","0","1","1","0","0","1","0","0","0","0","0"
"7歳","9","0","2","21","26","3","3","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","6","0","0","13","32","1","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"9歳","3","0","0","14","22","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","8","0","0","21","38","4","3","0","0","0","0","0","1","4","0","0","0","1","0","0","0","0","0"
"15〜19歳","0","0","0","3","15","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","1"
"20〜29歳","1","0","0","11","79","0","1","0","0","2","0","0","0","0","0","0","0","3","0","0","1","0","0"
"30〜39歳","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","1"
"40〜49歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"合計","112","29","20","203","572","74","80","18","100","5","0","34","2","25","10","0","1","27","1","0","2","1","2"
