"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","15","1396","17","0","0","25","0","1","0","2","3","0","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"〜1歳","1","22","*","56","3","3","74","0","17","0","10","34","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"1歳","8","26","7612","155","18","12","154","3","39","4","44","84","0","11","2","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0"
"2歳","8","15","*","69","11","17","129","4","22","8","17","48","0","6","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","16","11","*","16","7","31","91","8","9","9","5","27","1","1","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","13","12","*","7","4","34","96","5","8","18","4","20","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","24","18","4708","4","3","51","91","7","12","13","0","15","4","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","31","16","*","4","4","34","86","3","9","5","1","11","2","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"7歳","15","21","*","0","1","38","50","6","5","3","0","3","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"8歳","16","23","*","0","1","26","69","0","1","2","0","7","1","3","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","3"
"9歳","14","42","*","4","0","31","48","3","1","0","0","1","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","122","271","2060","0","1","41","120","19","3","0","0","3","2","1","0","0","3","0","0","3","0","0","1","2","0","0","0","0","0","1","0","1","0","1"
"15〜19歳","72","224","863","0","1","11","30","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"20〜29歳","25","133","703","0","2","21","96","1","0","0","0","3","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0"
"30〜39歳","15","156","916","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"40〜49歳","16","220","816","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","1","5","0","0","0","0","0","1","0","0","0","5"
"50〜59歳","10","190","694","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","122","475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","10"
"70〜79歳","3","84","368","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","1","29","0","0","0","0","0","1","0","2","1","27"
"80歳以上","2","67","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","1","1","26"
"合計","416","1688","20864","332","56","350","1159","62","127","62","83","262","14","33","5","0","34","0","1","11","0","1","7","82","0","0","1","0","0","6","1","6","2","76"
