"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","43","0","0","5","0","12","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","94","8","1","50","1","112","3","34","0","17","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","172","15","16","92","3","265","1","65","0","63","1","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","4","90","9","20","64","4","165","1","16","0","33","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","4","27","13","40","67","5","181","0","6","0","27","5","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","5","12","14","44","48","3","117","1","1","0","21","4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","8","1","9","35","49","1","82","1","1","0","18","6","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","4","0","10","35","43","4","47","0","0","0","12","6","2","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","1"
"7歳","7","0","8","31","34","2","25","0","0","0","7","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","2","0","0","24","33","12","19","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","1","19","28","5","4","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","5","1","1","29","82","3","16","0","0","0","10","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","0","4","22","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","5","1","0","20","93","0","26","1","0","1","2","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","1","0","0","0","0","0","1","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","67","441","88","318","710","43","1075","8","124","1","219","38","25","3","0","15","1","0","4","0","0","3","1","0","1","1","1","2","1"
