"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","3","0","0"
"1〜4歳","0","0","0","0","0","0","2","8","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","0","0","0","0","0","0","0"
"20〜24歳","16","4","3","9","0","1","0","0","0","0"
"25〜29歳","21","7","7","25","0","1","0","0","0","0"
"30〜34歳","30","3","15","12","0","1","0","0","0","0"
"35〜39歳","18","8","9","6","0","6","0","0","0","0"
"40〜44歳","9","11","6","5","0","4","1","1","0","0"
"45〜49歳","10","12","7","3","0","1","3","0","0","0"
"50〜54歳","1","4","4","1","0","1","1","2","0","0"
"55〜59歳","6","3","1","1","0","0","4","0","0","0"
"60〜64歳","4","3","0","1","1","0","1","1","0","0"
"65〜69歳","1","3","1","0","0","0","6","3","0","0"
"70歳以上","0","2","0","2","0","0","15","15","0","0"
"合計","118","60","53","65","1","15","40","34","0","0"
