"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","16","3","4","17","1","0","6","3","0","0","2","2"
"中央区","15","7","2","2","0","0","0","0","0","0","3","0"
"みなと","12","38","10","9","0","0","8","0","0","0","2","1"
"新宿区","32","12","40","25","2","14","11","2","0","0","7","2"
"文京","5","4","2","3","0","0","1","4","3","0","1","1"
"台東","1","2","0","0","0","0","0","0","0","0","2","0"
"墨田区","9","5","2","1","0","0","6","1","0","0","2","1"
"江東区","17","3","2","8","2","1","0","0","0","0","2","0"
"品川区","5","5","1","5","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","12","0","0","1","0","0","1","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","3","1","0","0","0","2"
"渋谷区","12","10","6","3","0","0","1","0","0","0","5","1"
"中野区","3","1","1","0","2","0","0","0","0","0","2","1"
"杉並","9","0","1","3","0","0","1","0","0","0","2","1"
"池袋","20","11","5","7","2","0","4","2","0","0","3","1"
"北区","2","0","1","1","0","0","0","0","0","0","1","0"
"荒川区","1","1","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","1","0","4","0","1","3","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","3","0","0","2","1","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","4","7","0","0","0","1"
"江戸川","7","0","3","0","0","0","0","0","0","0","2","0"
"八王子市","4","0","0","3","0","0","3","0","0","0","4","1"
"町田市","6","4","0","1","1","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","13","1","0","2","0","0","4","0","0","0","2","1"
"多摩府中","2","0","1","0","0","0","25","5","1","0","3","3"
"多摩小平","0","0","0","0","0","0","4","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","2","0","0","0","0","1"
"合計","211","108","81","97","11","16","87","26","4","0","55","25"
