"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","16","10","0","0","7","0","1","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","31","28","3","0","32","1","7","0","8","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","33","43","13","3","76","1","22","0","16","53","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","7","37","21","13","8","61","1","20","0","3","49","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","12","44","8","8","12","38","1","15","0","2","44","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","19","26","5","7","18","48","1","12","0","2","43","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","35","12","3","12","31","43","4","12","0","0","35","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","33","21","1","12","23","24","1","4","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","22","21","1","6","20","26","1","3","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","13","26","0","4","24","21","1","3","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","15","29","0","1","12","16","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","35","147","1","1","14","35","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","12","126","0","0","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","8","332","0","0","10","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","7","295","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","15","351","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","3","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","220","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","101","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","248","2251","121","80","177","465","17","99","0","33","265","4","7","1","0","9","2","1","1","0","0","0","0","0","0","0","0","0","0"
