"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","3","0"
"1〜4歳","0","0","0","0","0","0","4","4","1"
"5〜9歳","0","0","0","0","0","0","1","1","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","7","2","2","5","0","1","1","0","0"
"20〜24歳","32","6","6","17","0","0","1","1","0"
"25〜29歳","28","13","7","19","0","0","2","0","0"
"30〜34歳","17","13","2","14","0","0","3","0","0"
"35〜39歳","15","10","5","15","0","1","2","0","0"
"40〜44歳","9","3","3","4","0","1","5","0","0"
"45〜49歳","6","3","3","1","1","1","2","0","0"
"50〜54歳","2","4","0","2","0","0","4","0","1"
"55〜59歳","1","1","0","1","0","0","7","1","2"
"60〜64歳","0","1","0","1","0","1","7","0","1"
"65〜69歳","0","1","0","0","0","1","5","1","0"
"70歳以上","0","1","0","0","0","0","31","2","3"
"合計","117","58","28","79","1","6","81","13","8"
