"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","9","22","0","0","4","0","0","0","2","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","18","31","0","1","28","1","6","1","9","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","7","27","62","7","4","45","0","13","1","10","83","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","5","24","32","2","8","41","0","15","0","3","85","2","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","11","23","8","8","15","37","2","15","2","1","73","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","6","22","10","8","20","52","0","6","0","5","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","7","14","4","5","17","31","2","7","0","0","48","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","6","11","0","5","21","24","2","7","1","0","24","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","17","27","0","5","10","24","2","0","1","0","21","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","9","25","0","1","14","17","2","0","0","0","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","8","26","0","1","6","15","4","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","30","196","3","2","13","27","5","0","0","0","8","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","167","0","0","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","6","286","1","1","3","43","0","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","19","276","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","21","303","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","8","294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","3","133","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","169","2044","173","45","135","398","20","71","6","30","463","9","6","0","0","13","1","1","0","0","0","2","0","0","0","0","0","2","0"
