"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","7","0","0","11","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","22","3","1","59","3","11","1","45","0","22","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","54","7","3","97","9","23","2","62","0","44","2","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","30","4","2","56","8","11","0","10","0","26","4","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","0","5","10","10","52","5","9","1","3","1","26","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","0","3","5","16","41","5","9","2","1","1","24","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","1","1","15","22","34","4","4","1","1","0","4","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","1","0","4","16","28","3","0","0","0","0","6","2","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","5","14","11","1","1","0","0","0","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","1","0","1","7","11","0","1","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","3","17","1","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","2","11","57","1","3","0","0","0","3","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","1","8","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","3","3","29","0","1","0","0","1","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","6","122","60","109","511","40","75","8","124","3","164","40","26","2","0","20","0","1","9","0","0","0","0","0","0","0","0","0"
