"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","15","72","2","0","0","0","0","1","0","0","4","0","0","0","0","0","1","0","0","0","0","0","4","3","0","2","2","0"
"中央区","13","31","0","0","1","13","0","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","9","53","12","5","6","11","2","1","0","2","13","0","0","0","0","0","0","0","0","0","0","2","9","6","0","1","1","0"
"新宿区","8","106","11","10","4","19","0","2","0","1","18","0","0","0","0","0","0","0","0","0","0","0","11","7","2","2","2","0"
"文京","5","44","4","1","1","2","1","1","0","0","10","0","0","0","0","2","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","1","49","8","2","1","13","0","7","0","2","38","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","4","169","3","4","1","2","0","2","0","1","22","0","0","0","0","0","0","1","0","0","0","0","8","5","1","1","1","0"
"江東区","30","109","7","0","9","40","1","3","0","2","19","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","12","78","6","2","11","14","0","8","1","5","25","1","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","13","66","5","5","2","12","0","6","0","1","14","1","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","34","181","41","15","19","54","2","15","1","5","52","0","0","1","0","1","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","26","246","36","4","20","47","3","10","2","0","55","0","1","0","0","0","0","1","0","0","0","0","25","16","2","2","2","0"
"渋谷区","7","53","5","1","1","8","0","1","1","0","5","0","0","0","0","8","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","6","139","5","0","14","31","3","0","0","4","36","1","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","16","136","12","4","13","24","0","5","0","1","19","0","0","0","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","10","152","4","2","1","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","14","164","2","6","8","14","2","15","0","1","16","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","15","58","41","2","3","19","1","3","0","1","18","0","1","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","5","148","9","2","13","28","0","4","1","0","32","0","2","0","0","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","7","187","13","5","13","34","0","1","1","5","70","1","0","0","0","1","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","3","181","13","4","2","83","2","4","1","7","72","0","1","1","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","6","102","2","1","5","38","3","6","0","1","22","0","0","0","0","0","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","16","213","17","6","17","47","2","4","0","5","51","0","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","27","183","30","2","25","71","2","5","0","0","49","1","0","0","0","6","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","5","82","2","0","5","43","2","11","0","0","43","2","1","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","13","70","0","1","2","6","1","2","0","1","15","1","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","0","111","22","5","7","22","1","14","0","1","31","2","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","4","155","18","0","22","44","2","5","0","3","51","1","0","0","0","0","0","0","0","0","0","1","21","14","2","1","1","0"
"多摩府中","52","342","25","6","22","58","5","6","1","3","100","4","4","0","0","0","0","0","0","0","0","1","33","21","3","3","3","0"
"多摩小平","37","196","42","7","38","72","4","7","0","3","49","0","2","0","0","0","0","0","1","0","0","0","22","14","2","2","2","0"
"島しょ","0","22","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","413","3898","397","102","286","872","39","151","9","55","971","16","12","2","0","18","1","2","1","0","0","4","417","262","39","25","25","0"
