"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","1","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","17","0","0","0","13","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"みなと","30","3","2","11","38","3","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","9","0","0","2","31","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"文京","13","1","9","0","4","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","19","1","0","4","35","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","6","0","0","1","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","40","1","0","2","70","2","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"品川区","19","0","0","9","103","0","0","0","5","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","8","0","1","1","12","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","41","13","4","2","84","5","0","3","1","0","0","2","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","29","1","0","4","64","1","3","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","32","0","0","1","25","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","14","1","0","4","76","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","40","1","0","2","66","6","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","12","0","0","2","10","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","28","0","2","0","36","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","16","0","0","1","20","1","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","","","","","",""
"板橋区","4","0","0","3","15","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","48","1","1","6","43","5","0","0","0","1","0","2","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"足立","16","1","3","0","45","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","2","0","0","1","21","5","0","0","1","0","0","0","0","0","1","0","0","0","0","0","5","0","0","","","","","",""
"江戸川","56","2","2","11","79","5","0","0","3","0","0","1","0","1","0","0","0","4","0","0","0","0","0","","","","","",""
"八王子市","31","1","4","7","69","4","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","53","0","0","19","96","12","0","4","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","1","2","1","9","62","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","12","2","0","3","14","7","0","0","3","2","0","1","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩立川","12","0","0","3","46","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","20","0","0","3","65","5","1","3","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","27","11","0","10","83","4","0","2","5","0","0","1","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","657","43","29","121","1362","88","12","17","41","5","0","10","0","11","9","0","2","11","0","0","6","0","0","","","","","",""
