"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","3","0","0"
"1〜4歳","0","0","0","0","0","0","10","13","0","0"
"5〜9歳","0","0","0","0","0","0","7","2","1","0"
"10〜14歳","0","0","0","0","0","0","4","1","0","0"
"15〜19歳","2","0","1","5","1","0","0","0","0","0"
"20〜24歳","18","2","4","8","0","0","0","0","0","0"
"25〜29歳","19","7","6","21","1","1","0","0","0","0"
"30〜34歳","17","12","9","20","1","6","1","1","0","0"
"35〜39歳","17","9","14","13","2","4","1","1","0","0"
"40〜44歳","13","8","5","6","1","2","2","0","0","0"
"45〜49歳","8","11","5","12","1","1","2","0","0","0"
"50〜54歳","6","7","5","3","0","0","2","1","0","0"
"55〜59歳","3","3","1","2","0","0","3","0","0","0"
"60〜64歳","2","0","0","1","0","0","5","2","0","0"
"65〜69歳","0","2","1","0","0","0","4","3","0","0"
"70歳以上","0","2","0","0","1","0","23","10","0","0"
"合計","105","63","51","91","8","14","68","37","1","0"
