"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","3","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","26","0","0","0","13","8","0","0","15","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0"
"1歳","85","0","0","1","57","12","0","0","11","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"2歳","79","0","3","0","26","14","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"3歳","99","0","0","5","36","10","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"4歳","94","0","0","5","30","8","1","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"5歳","95","0","1","9","32","6","0","4","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0"
"6歳","71","0","0","4","20","3","0","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0"
"7歳","69","0","1","5","21","1","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"8歳","60","0","0","0","21","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","57","0","0","0","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","254","0","0","4","46","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","129","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","116","0","1","1","60","2","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0"
"30〜39歳","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"40〜49歳","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1499","0","6","34","401","70","3","15","27","0","0","1","1","20","3","2","0","4","1","0","0","0","0","0"
