"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","29","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","48","0","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","33","1","2","8","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"新宿区","100","0","0","2","17","6","0","0","0","0","0","0","0","3","1","0","0","0","0","0","1","0","0","","","","","",""
"文京","55","0","0","0","4","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","68","0","0","2","10","4","1","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","64","0","0","2","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","65","0","0","0","6","5","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","102","0","0","1","17","3","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","52","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","168","0","0","2","22","9","5","0","0","0","0","1","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","123","0","0","2","25","7","1","1","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","43","0","0","0","17","4","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","136","0","0","7","40","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","125","0","0","3","34","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","39","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","123","0","0","4","19","5","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","46","0","0","0","9","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","72","0","0","0","5","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"練馬区","163","0","0","5","15","5","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","64","0","0","3","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","128","0","0","5","7","1","0","1","3","0","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","164","0","1","1","15","6","0","0","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","32","0","0","0","5","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","137","0","0","4","37","5","0","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","231","0","0","9","29","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","72","0","0","0","20","1","1","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","155","0","1","1","10","2","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩府中","219","0","0","7","16","8","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","262","0","0","6","30","6","0","0","5","0","0","0","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","10","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3128","1","4","74","447","93","12","14","23","0","0","4","0","49","4","0","0","5","0","0","2","0","0","","","","","",""
