"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","16","130","16","6","10","31","4","12","0","2","20","0","0","0","0","1","0","1","0","0","0","0","","","","","",""
"区南部","35","156","12","8","19","43","2","6","0","1","17","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","23","194","14","16","16","49","1","8","0","0","13","0","2","0","0","2","2","0","0","0","0","0","","","","","",""
"区西部","21","221","6","11","10","40","0","7","0","2","8","0","0","1","0","2","0","0","1","0","0","0","","","","","",""
"区西北部","42","309","16","7","18","36","1","17","0","8","42","3","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","11","206","14","1","6","55","0","6","0","4","38","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","28","308","7","22","18","35","4","6","0","6","25","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","3","53","0","1","3","4","1","2","0","0","8","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","24","240","21","3","17","77","0","11","0","4","32","0","0","0","0","3","0","0","0","0","0","0","","","","","",""
"北多摩西部","6","95","2","0","13","32","1","4","0","1","23","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","17","190","5","1","21","33","2","14","0","2","25","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","21","119","8","4","26","30","1","6","0","3","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","30","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","248","2251","121","80","177","465","17","99","0","33","265","4","7","1","0","9","2","1","1","0","0","0","","","","","",""
