"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","12","3","1","4","1","1","11","12","0","",""
"区南部","0","1","0","0","0","0","0","0","0","",""
"区西南部","6","1","2","1","0","0","25","18","0","",""
"区西部","12","0","0","18","0","0","32","4","4","",""
"区西北部","19","6","10","10","0","0","6","5","0","",""
"区東北部","1","1","1","3","0","0","0","0","0","",""
"区東部","18","8","3","24","0","1","6","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","4","0","3","",""
"北多摩西部","4","1","2","11","0","0","0","0","0","",""
"北多摩南部","0","1","0","3","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","72","22","19","74","1","2","84","39","7","",""
