"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","29","0","0","0","9","1","9","0","1","1","0","0","0","0","0","0","0","3","0","0","0","6","4","3","0","2","2","2"
"中央区","2","22","0","0","1","10","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","1","28","2","1","1","13","0","43","1","3","3","0","0","0","0","0","0","0","0","1","0","0","7","9","6","0","1","1","1"
"新宿区","1","57","2","1","13","19","0","15","1","0","2","0","0","0","0","0","0","0","1","0","0","0","14","12","8","2","2","2","2"
"文京","3","18","0","0","5","6","0","13","6","1","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","1","1","1"
"台東","1","15","0","1","7","20","0","37","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","3","78","0","1","3","10","0","21","0","2","0","0","1","0","0","0","0","0","6","0","0","0","8","8","5","1","1","1","1"
"江東区","1","54","3","0","8","25","1","50","6","1","9","0","0","0","0","2","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","3","36","0","0","4","14","5","28","2","1","6","0","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","0","24","0","0","3","13","1","19","4","1","3","0","0","1","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","6","64","1","4","11","37","0","77","5","4","8","1","1","0","0","3","0","0","2","0","0","0","6","21","13","2","1","1","1"
"世田谷","11","117","2","0","7","31","2","58","6","3","22","1","1","0","0","2","0","0","0","0","0","1","13","22","13","2","2","2","2"
"渋谷区","0","17","0","0","0","10","0","17","1","0","4","0","0","0","0","1","0","0","0","0","0","0","9","7","4","1","1","1","1"
"中野区","13","42","2","2","12","36","2","58","1","1","7","0","0","0","0","0","0","0","0","0","0","0","0","9","5","1","0","0","0"
"杉並","2","56","6","1","6","24","1","24","3","2","7","1","1","0","0","0","1","0","12","0","0","0","5","17","11","1","2","2","2"
"池袋","2","48","1","0","2","16","0","20","0","7","6","0","0","0","0","1","0","0","3","0","0","0","0","7","4","1","1","1","1"
"北区","2","87","2","1","8","22","0","32","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","2","41","1","0","4","3","0","19","3","6","2","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","5","68","0","0","3","11","0","9","2","2","2","0","0","0","0","0","0","0","2","0","0","0","10","16","10","2","1","1","1"
"練馬区","9","118","2","1","33","27","0","68","9","7","12","1","2","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","0","124","7","7","19","25","0","20","3","9","4","0","0","1","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","2","43","0","0","7","27","0","18","0","4","3","0","0","0","0","0","0","0","3","0","0","1","7","13","8","1","1","1","1"
"江戸川","5","122","0","0","16","33","1","47","1","2","4","0","0","0","0","0","0","0","0","0","0","0","0","18","11","1","0","0","0"
"八王子市","4","121","6","1","27","43","1","68","2","3","14","0","1","0","0","1","0","0","0","0","0","0","8","18","11","2","1","1","1"
"町田市","0","63","0","1","17","21","6","50","7","1","10","0","0","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","3","41","2","0","5","18","0","22","3","1","0","0","0","0","0","0","0","0","2","0","0","0","4","14","8","1","1","1","1"
"南多摩","1","52","0","1","2","19","0","27","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","13","9","1","0","0","0"
"多摩立川","4","106","3","0","13","42","0","56","6","2","9","0","0","0","0","0","0","0","0","0","0","0","5","21","14","2","1","1","1"
"多摩府中","18","136","3","3","21","20","2","105","18","5","17","0","1","0","0","1","0","0","4","0","1","0","17","33","21","3","3","3","3"
"多摩小平","4","123","5","13","30","36","1","124","1","6","8","0","0","0","0","0","0","0","7","0","0","0","16","23","15","2","2","2","2"
"島しょ","0","12","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","1","1","1"
"合計","108","1962","50","39","288","640","24","1166","96","79","179","5","8","2","0","12","1","0","45","1","1","2","143","410","257","38","25","25","25"
