"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","21","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","","","","","",""
"中央区","2","7","0","0","0","5","0","11","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","4","25","2","1","2","9","0","32","2","0","1","0","0","0","0","0","0","0","1","0","0","0","3","","","","","",""
"新宿区","0","48","3","0","1","10","0","14","0","0","4","0","0","2","0","0","0","0","0","0","0","0","8","","","","","",""
"文京","0","37","0","0","4","5","0","13","0","0","1","1","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"台東","0","16","0","0","0","8","0","32","1","1","10","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","2","61","0","0","3","6","0","30","1","2","0","0","0","0","0","0","0","0","3","0","0","0","5","","","","","",""
"江東区","2","52","4","0","7","17","1","75","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","1","33","0","0","3","10","0","29","1","1","14","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","20","0","2","0","7","1","31","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","2","74","1","4","6","32","0","93","7","2","19","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"世田谷","1","92","3","0","8","15","1","57","4","1","19","0","1","0","0","1","0","0","1","0","0","0","6","","","","","",""
"渋谷区","1","20","0","0","0","1","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","","","","","",""
"中野区","0","45","0","0","6","11","2","49","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","1","58","1","1","3","17","0","30","3","2","2","0","0","0","0","0","0","0","8","0","0","0","3","","","","","",""
"池袋","0","40","1","2","1","2","0","19","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北区","4","36","0","0","7","6","1","40","4","1","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","4","38","3","0","4","6","1","37","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","1","70","1","2","2","8","0","32","0","0","7","0","0","0","0","0","0","0","0","0","0","0","6","","","","","",""
"練馬区","2","99","3","1","18","10","0","79","2","1","25","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","10","98","5","2","9","13","0","40","1","4","16","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","2","49","0","0","4","10","0","13","0","1","4","0","0","0","0","0","0","0","1","0","0","0","7","","","","","",""
"江戸川","4","85","5","0","7","14","1","26","0","2","6","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","87","2","2","9","23","0","81","0","2","7","0","1","0","0","2","0","0","0","0","0","0","3","","","","","",""
"町田市","1","30","0","0","6","15","0","33","3","1","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","51","0","0","1","8","0","16","4","0","1","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"南多摩","0","54","0","0","3","7","0","14","0","2","12","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","4","77","1","1","13","12","0","60","0","0","11","1","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"多摩府中","2","111","5","2","26","22","2","166","9","3","19","0","2","0","0","2","1","0","4","0","0","1","16","","","","","",""
"多摩小平","2","104","6","3","22","30","1","146","1","6","9","0","0","0","0","0","0","0","4","0","0","0","8","","","","","",""
"島しょ","0","12","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"合計","53","1650","46","23","175","340","12","1324","49","39","224","2","6","2","0","8","1","0","22","0","0","1","98","","","","","",""
