"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","1","4","4","16","0","19","0","0","19","1","0","4","0","0","0","0","0","0","0","0","0"
"1歳","0","0","1","1","8","12","55","0","15","0","3","48","1","1","0","0","0","0","0","0","0","0","0","0"
"2歳","0","0","4","1","9","12","69","0","0","0","0","55","1","2","1","0","0","0","0","0","0","0","0","0"
"3歳","0","0","7","2","11","10","54","3","0","0","0","52","0","1","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","8","2","12","6","45","2","0","0","0","34","1","2","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","5","5","8","4","38","2","0","0","0","19","0","4","0","1","0","0","0","0","0","0","0","0"
"6歳","0","0","2","3","6","2","15","1","0","0","0","11","0","3","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","3","3","4","1","10","4","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","4","4","0","13","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","1","1","0","4","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","1","5","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","3","3","29","1","11","1","0","0","1","5","2","1","1","0","0","4","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","35","28","102","53","334","16","36","0","5","259","7","15","8","1","0","5","0","0","0","0","0","0"
