"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","133","100","233","55"
"性器ヘルペスウイルス感染症","88","33","121","55"
"尖圭コンジローマ","86","27","113","55"
"淋菌感染症","111","25","136","55"
"膣トリコモナス症","0","10","10","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","36","24","60","25"
"ペニシリン耐性肺炎球菌感染症","10","9","19","25"
"薬剤耐性緑膿菌感染症","2","0","2","25"
