"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","9","4","0","0","10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","43","0","2","3","42","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0"
"1歳","0","0","1","1","95","17","12","1","6","0","2","3","3","6","7","0","0","1","0","0","0","0","0","0"
"2歳","2","0","0","3","71","28","14","1","3","0","0","2","0","10","1","0","0","2","0","0","0","0","0","0"
"3歳","1","0","2","8","83","28","9","6","1","0","1","1","0","18","0","1","0","0","0","0","0","0","0","0"
"4歳","0","0","2","13","88","36","11","10","0","0","0","0","0","37","0","1","0","0","0","0","0","0","0","0"
"5歳","1","0","0","15","66","26","7","7","0","0","0","1","0","23","1","0","0","1","0","0","0","0","0","0"
"6歳","3","0","2","13","63","10","2","4","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","11","54","11","0","6","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","5","41","3","0","3","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","5","25","2","1","2","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","0","4","54","5","1","1","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","0","24","0","0","0","0","0","0","1","1","3","0","0","0","2","0","0","0","0","0","0"
"20〜29歳","2","0","1","5","124","0","0","1","0","0","0","1","0","3","1","0","0","7","0","0","0","0","0","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","23","0","8","83","840","170","59","45","62","0","3","9","6","160","15","3","1","26","0","0","0","0","0","0"
