"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","4","0"
"1〜4歳","0","0","0","0","0","0","1","15","0"
"5〜9歳","0","0","0","0","0","0","0","1","0"
"10〜14歳","0","0","0","0","0","0","0","2","0"
"15〜19歳","2","0","0","1","0","1","0","0","0"
"20〜24歳","12","4","4","10","0","1","1","1","0"
"25〜29歳","18","1","7","16","0","1","0","0","0"
"30〜34歳","16","6","5","11","0","0","0","0","0"
"35〜39歳","21","9","5","6","0","1","0","0","0"
"40〜44歳","15","9","6","6","0","4","1","0","0"
"45〜49歳","4","7","4","3","0","1","0","0","0"
"50〜54歳","5","2","1","2","0","1","1","0","0"
"55〜59歳","3","3","1","0","0","0","5","0","1"
"60〜64歳","2","3","0","1","0","0","4","1","0"
"65〜69歳","0","2","1","0","0","0","5","2","0"
"70歳以上","0","1","0","0","0","1","39","3","1"
"合計","98","47","34","56","0","11","58","29","2"
