"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","2","0","1","0","6","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","6","1","1","0","47","7","0","1","25","0","0","0","3","0","1","0","0","0","0","0","0","0","0"
"1歳","7","1","7","2","68","14","1","0","18","0","0","2","0","1","4","0","0","1","0","1","0","0","0"
"2歳","22","0","6","9","44","25","3","3","0","0","0","3","0","3","2","0","0","0","0","0","0","0","0"
"3歳","28","0","5","11","37","17","1","5","2","0","0","0","0","3","0","0","0","1","0","0","1","0","0"
"4歳","23","0","11","16","43","18","1","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"5歳","21","0","4","26","38","10","0","11","0","0","0","0","0","1","1","0","0","2","0","0","1","0","0"
"6歳","45","0","1","28","29","5","0","9","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0"
"7歳","21","0","2","8","17","3","0","3","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"8歳","22","0","0","14","8","0","0","6","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"9歳","14","0","1","13","12","2","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"10〜14歳","37","0","0","9","24","4","0","0","0","0","0","0","2","2","0","0","0","1","0","0","0","0","0"
"15〜19歳","36","0","0","0","7","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"20〜29歳","52","2","0","11","40","2","0","1","0","0","0","5","2","0","0","0","0","0","0","0","0","0","2"
"30〜39歳","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"40〜49歳","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"50〜59歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"60〜69歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","411","4","39","147","420","109","6","50","46","0","0","11","11","16","8","0","0","15","0","1","2","0","5"
