"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","6","0","0","0","3","1","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","36","0","0","1","18","3","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","87","0","1","0","65","8","0","0","7","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"2歳","76","0","2","4","42","4","1","1","1","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0"
"3歳","99","0","0","2","39","3","0","0","0","0","0","0","2","1","2","0","0","1","0","0","0","0","0","0"
"4歳","172","0","0","6","44","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","132","0","0","7","26","6","0","3","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0"
"6歳","146","0","1","4","18","3","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","165","0","0","7","28","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"8歳","168","0","0","3","27","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","124","0","0","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","430","0","0","4","45","3","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"15〜19歳","152","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","173","0","0","2","82","1","0","0","0","0","1","1","0","1","1","0","0","1","0","0","0","0","0","2"
"30〜39歳","223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1"
"40〜49歳","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2415","0","4","40","465","45","1","7","25","0","1","4","4","9","6","0","0","6","0","1","0","0","0","3"
