"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","2","0"
"1〜4歳","0","0","0","0","0","0","7","13","0"
"5〜9歳","0","0","0","0","0","0","3","2","0"
"10〜14歳","0","0","0","0","0","0","0","2","0"
"15〜19歳","20","3","1","8","2","0","1","1","0"
"20〜24歳","56","11","10","19","8","0","0","0","0"
"25〜29歳","48","13","8","26","5","0","1","1","0"
"30〜34歳","20","12","2","23","8","1","2","0","0"
"35〜39歳","13","9","6","13","2","1","1","1","0"
"40〜44歳","11","5","3","10","2","0","3","1","0"
"45〜49歳","6","2","1","2","0","1","1","0","0"
"50〜54歳","3","2","2","2","3","1","10","0","1"
"55〜59歳","3","3","1","0","2","0","8","1","0"
"60〜64歳","1","1","0","1","0","0","11","2","0"
"65〜69歳","0","0","0","0","0","0","14","1","2"
"70歳以上","0","0","0","1","1","0","63","3","2"
"合計","181","61","34","105","33","4","133","30","5"
