"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","16","8","1","1","0","0","4","5","0","",""
"区南部","4","0","0","0","0","0","1","0","0","",""
"区西南部","3","9","5","0","0","0","1","0","0","",""
"区西部","16","3","4","9","1","0","15","4","0","",""
"区西北部","17","3","2","2","1","0","3","9","0","",""
"区東北部","3","0","0","0","0","0","1","7","0","",""
"区東部","9","0","2","0","3","0","1","7","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","12","2","1","1","5","0","0","0","0","",""
"北多摩西部","17","2","0","2","1","0","0","0","0","",""
"北多摩南部","1","0","0","0","0","0","19","16","0","",""
"北多摩北部","0","2","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","98","29","15","15","11","0","45","48","0","",""
