"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1〜4歳","0","0","0","0","0","0","0","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","1","0","0","0","0","0"
"20〜24歳","28","1","6","14","0","0","2","0","0"
"25〜29歳","28","0","7","9","0","0","0","0","0"
"30〜34歳","24","2","2","8","0","0","0","0","0"
"35〜39歳","21","2","3","5","0","0","0","0","0"
"40〜44歳","13","4","5","11","1","0","0","0","0"
"45〜49歳","7","0","4","6","0","0","0","0","0"
"50〜54歳","6","1","2","4","0","0","1","0","0"
"55〜59歳","5","1","2","3","0","0","0","0","0"
"60〜64歳","0","5","2","1","0","0","1","0","0"
"65〜69歳","4","0","2","1","0","0","0","0","0"
"70歳以上","0","2","3","1","0","0","13","0","0"
"合計","138","18","38","64","1","0","20","0","0"
