"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","9","31","0","0","3","1","1","0","2","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","19","57","2","0","59","1","5","0","13","51","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","8","31","106","12","3","82","1","15","0","17","162","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","13","14","67","12","7","76","2","13","0","1","134","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","16","15","23","12","14","67","1","19","1","0","143","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","10","18","13","7","23","70","2","1","0","1","127","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","23","20","13","7","26","82","1","8","1","0","120","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","16","16","8","4","33","71","3","9","0","0","63","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","29","17","3","2","21","40","1","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","25","21","4","2","23","31","0","1","0","0","25","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","19","28","0","2","12","35","3","2","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","54","180","8","1","13","44","1","2","0","0","20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","12","132","1","0","1","9","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","6","203","0","3","5","19","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","10","212","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","23","214","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","6","240","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","102","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","82","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","277","1609","334","66","181","688","17","76","2","34","905","9","16","3","0","19","0","0","0","0","0","1","0","0","0","0","0","1","0"
