"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","5","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"中央区","10","0","0","0","3","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"みなと","59","3","1","2","17","3","4","0","3","0","0","3","0","0","0","0","0","1","0","0","","","","","",""
"新宿区","49","3","0","0","13","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","","","","","",""
"文京","36","2","1","0","2","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"台東","15","2","0","2","7","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","24","1","0","0","3","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"江東区","56","1","0","4","30","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","59","0","2","3","28","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","7","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","142","2","2","6","34","4","2","0","3","2","1","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","136","0","0","6","41","3","3","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","36","0","0","0","5","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"中野区","44","1","0","4","18","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","81","0","0","5","39","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","36","0","0","0","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","35","0","0","2","5","2","0","2","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","31","1","0","7","18","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","33","0","0","1","19","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","61","0","0","6","16","2","0","0","1","0","0","6","0","0","0","1","0","0","0","0","","","","","",""
"足立","67","0","0","2","25","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","108","0","0","1","6","5","2","1","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","102","0","0","5","12","3","1","0","0","0","0","6","0","0","0","1","0","0","0","0","","","","","",""
"八王子市","76","1","0","9","33","6","0","1","1","1","0","6","3","0","0","1","0","0","0","0","","","","","",""
"町田市","122","0","0","14","30","21","2","1","2","0","1","5","1","0","0","0","0","0","0","0","","","","","",""
"西多摩","69","0","0","1","10","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","69","2","0","5","17","2","0","0","1","0","3","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","67","0","0","0","7","3","0","0","0","0","0","0","1","0","0","2","0","0","0","0","","","","","",""
"多摩府中","161","0","0","2","15","3","0","0","4","0","0","3","0","0","0","0","1","0","2","0","","","","","",""
"多摩小平","154","7","4","6","16","5","1","1","4","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1980","26","10","93","483","84","31","8","32","3","5","51","6","0","0","8","2","1","4","0","","","","","",""
