"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","9","9","0"
"1〜4歳","0","0","0","0","0","0","9","25","0"
"5〜9歳","0","0","0","0","0","0","3","2","0"
"10〜14歳","0","0","0","0","0","0","1","1","0"
"15〜19歳","12","1","1","7","2","0","3","2","0"
"20〜24歳","58","7","15","16","7","0","2","0","0"
"25〜29歳","55","9","22","21","1","5","3","0","0"
"30〜34歳","42","15","14","25","2","1","4","1","0"
"35〜39歳","26","17","10","18","5","1","2","1","0"
"40〜44歳","17","9","6","7","2","1","3","0","0"
"45〜49歳","9","4","6","7","1","0","2","0","0"
"50〜54歳","1","2","6","2","1","0","5","0","0"
"55〜59歳","2","2","0","4","1","0","11","0","1"
"60〜64歳","1","2","2","1","0","0","13","1","1"
"65〜69歳","0","3","0","0","0","0","8","1","0"
"70歳以上","0","0","0","0","0","0","75","7","4"
"合計","223","71","82","108","22","8","153","50","6"
