"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","0","0","0"
"1〜4歳","0","0","0","0","0","0","14","10","0","0"
"5〜9歳","0","0","0","0","0","0","2","0","0","0"
"10〜14歳","1","0","0","0","0","0","2","1","0","0"
"15〜19歳","8","4","2","2","0","0","2","0","0","0"
"20〜24歳","40","13","8","13","2","0","0","0","1","0"
"25〜29歳","42","16","14","17","3","3","2","0","0","0"
"30〜34歳","43","16","14","19","2","2","1","1","0","0"
"35〜39歳","31","16","10","9","1","1","3","3","0","0"
"40〜44歳","13","12","10","6","2","1","1","0","0","0"
"45〜49歳","13","7","4","6","1","1","1","0","0","0"
"50〜54歳","11","6","3","2","3","2","0","0","0","0"
"55〜59歳","4","12","1","2","0","0","1","0","0","0"
"60〜64歳","5","3","1","0","1","0","7","1","0","0"
"65〜69歳","1","2","1","0","0","0","6","2","0","0"
"70歳以上","0","4","1","0","0","0","33","16","0","0"
"合計","212","111","69","76","15","10","87","34","1","0"
