"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","20","1","1","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","15","0","1","3","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","40","3","2","6","31","4","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","46","2","0","3","25","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","","","","","",""
"文京","21","0","0","3","4","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","","","","","",""
"台東","40","0","2","3","23","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","67","0","3","8","7","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","104","0","0","4","63","9","1","1","2","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","59","0","0","7","41","8","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","19","0","1","2","16","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","180","2","0","26","76","5","0","6","7","0","0","1","3","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","235","1","2","15","75","9","0","5","6","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","18","0","0","1","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","75","0","0","2","33","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","114","0","0","4","43","7","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"池袋","22","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","66","0","1","4","19","2","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"荒川区","56","2","1","1","30","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","37","0","0","3","26","2","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"練馬区","115","0","5","11","56","13","1","2","7","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","166","0","3","21","82","8","0","2","4","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","163","0","0","4","34","9","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"江戸川","230","1","0","22","69","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","255","1","2","37","60","12","0","11","7","0","0","3","0","1","0","1","0","0","0","0","0","","","","","",""
"町田市","189","0","3","16","42","4","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","28","0","0","2","22","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","183","1","0","13","37","2","0","1","0","0","0","2","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","93","0","1","5","51","15","0","2","3","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","280","0","4","18","88","8","1","3","3","0","0","9","1","0","0","2","0","0","0","0","0","","","","","",""
"多摩小平","153","0","6","33","67","16","1","7","1","0","0","1","1","1","0","1","0","0","2","0","0","","","","","",""
"島しょ","20","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3109","15","38","277","1148","160","8","56","56","1","1","37","8","4","0","8","0","0","5","0","0","","","","","",""
