"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","3","0","0","0","7","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","7","0","0","0","22","4","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","28","0","0","0","63","17","1","0","6","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0"
"2歳","34","0","0","2","54","12","1","1","3","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0"
"3歳","47","0","0","2","65","11","0","1","0","0","0","1","1","5","0","0","0","0","0","0","0","0","0","0"
"4歳","44","0","0","6","57","16","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"5歳","46","0","0","6","61","4","1","4","0","0","0","0","0","9","2","0","0","0","0","0","0","0","0","0"
"6歳","30","0","0","14","56","2","0","4","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0"
"7歳","26","0","0","4","53","0","0","3","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"8歳","16","0","0","5","23","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","13","0","0","4","28","1","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","65","0","0","1","78","1","0","1","1","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","36","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","64","0","1","2","111","3","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","0","0"
"30〜39歳","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"40〜49歳","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1"
"50〜59歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","605","0","1","46","703","75","3","21","32","0","0","2","4","53","6","0","0","11","0","1","0","0","0","1"
