"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","21","13","0"
"1〜4歳","0","0","0","0","0","0","3","30","0"
"5〜9歳","0","0","0","0","0","0","5","1","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","17","0","0","2","0","0","0","1","0"
"20〜24歳","41","10","11","15","3","2","0","0","0"
"25〜29歳","39","18","7","16","1","2","1","0","0"
"30〜34歳","38","20","19","9","1","2","0","0","0"
"35〜39歳","17","10","12","12","1","2","4","1","0"
"40〜44歳","17","12","5","2","1","1","1","0","0"
"45〜49歳","7","13","6","6","1","0","4","0","0"
"50〜54歳","5","1","1","0","1","0","3","0","0"
"55〜59歳","3","10","1","2","0","0","5","1","1"
"60〜64歳","2","3","1","3","0","0","11","0","0"
"65〜69歳","0","3","1","0","0","0","12","4","0"
"70歳以上","0","2","0","2","1","0","68","8","1"
"合計","186","102","64","69","10","9","140","59","2"
