"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","2","0","0","0","2"
"中央区","1","1","1","3","0","0","0","0","0","2","0"
"みなと","15","7","3","11","0","0","0","0","0","2","1"
"新宿区","45","14","8","26","1","0","36","9","2","5","2"
"文京","0","0","0","0","0","0","13","8","1","1","1"
"台東","30","16","4","5","18","0","0","0","0","4","0"
"墨田区","6","5","0","3","0","0","3","1","0","1","1"
"江東区","38","12","6","25","1","0","0","0","0","3","0"
"品川区","2","0","0","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","1","1","0","0","0","1","5","0","0","3","1"
"世田谷","0","0","0","0","0","0","15","0","0","0","2"
"渋谷区","9","0","0","1","0","0","0","0","0","3","2"
"中野区","7","0","0","0","2","0","0","0","0","1","1"
"杉並","0","0","0","0","0","0","0","0","0","0","1"
"池袋","33","6","11","11","3","0","22","3","0","3","1"
"長崎","0","0","0","0","0","0","0","0","0","0","0"
"北区","1","0","0","2","0","0","0","0","0","1","0"
"荒川区","2","2","0","0","0","0","0","0","0","1","0"
"板橋区","8","1","0","2","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","6","0","1","2","0","0","0","0","0","1","0"
"葛飾区","0","0","0","0","0","0","0","0","0","0","1"
"江戸川","0","0","0","0","0","0","0","0","0","0","0"
"八王子","18","2","1","0","24","0","18","0","0","3","1"
"秋川","0","0","0","0","0","0","0","0","0","0","0"
"町田市","0","3","0","0","1","0","0","0","0","1","0"
"多摩川","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","6","2","1","12","1","1","0","0","0","2","1"
"村山大和","0","0","0","0","0","0","0","0","0","0","0"
"府中小金井","0","0","0","0","0","0","0","0","0","0","1"
"狛江調布","0","0","0","0","0","0","0","0","0","0","0"
"三鷹武蔵野","9","6","2","5","0","0","0","0","0","1","1"
"多摩小平","0","0","0","0","0","0","0","1","0","0","1"
"多摩東村山","0","0","0","0","0","0","2","1","0","0","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","237","78","38","108","51","2","116","23","3","41","25"
