"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","11","12","4","3","39","3","23","1","10","17","1","2","0","0","3","0","0","1","1","0","0","","","","","",""
"区南部","1","27","1","20","55","0","51","6","7","19","1","4","0","0","3","0","0","0","0","0","0","","","","","",""
"区西南部","10","48","6","16","56","2","45","1","2","13","1","3","0","0","1","0","0","1","0","0","0","","","","","",""
"区西部","10","43","7","20","56","1","24","7","9","13","0","1","0","1","0","0","0","1","0","0","0","","","","","",""
"区西北部","13","46","5","25","55","4","20","0","7","44","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","4","31","4","15","55","1","27","6","8","36","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","15","46","3","18","57","0","16","3","6","28","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","1","6","1","3","14","0","9","0","1","4","0","2","0","0","1","0","0","0","0","0","0","","","","","",""
"南多摩","17","42","10","36","101","3","63","4","2","35","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","4","21","0","8","22","0","13","0","2","12","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","6","30","2","12","31","0","42","1","7","15","0","3","0","0","3","0","0","1","0","1","0","","","","","",""
"北多摩北部","8","16","11","20","18","4","22","2","8","33","2","0","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","100","368","54","196","559","18","362","31","69","269","10","18","1","1","12","0","0","4","1","1","0","","","","","",""
