"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","12","1","6","12","0","0","3","3","0","0","2","2"
"中央区","9","6","5","5","0","0","0","0","0","0","3","0"
"みなと","12","32","9","3","0","0","9","0","0","0","2","1"
"新宿区","31","15","25","23","0","4","22","5","0","0","7","2"
"文京","2","0","2","1","0","0","3","0","3","0","1","1"
"台東","2","0","0","0","0","0","0","0","0","0","2","0"
"墨田区","6","1","0","1","1","0","4","3","0","0","2","1"
"江東区","4","3","0","10","1","0","0","0","0","0","2","0"
"品川区","8","6","2","3","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","11","0","0","3","0","0","5","1","0","0","2","1"
"世田谷","0","0","0","0","0","0","6","2","0","0","0","2"
"渋谷区","13","8","4","3","1","0","2","0","0","0","5","1"
"中野区","3","0","1","1","1","3","0","0","0","0","2","1"
"杉並","3","1","0","3","0","0","2","0","0","0","2","1"
"池袋","11","8","4","12","0","1","1","5","0","0","3","1"
"北区","0","0","2","1","0","0","0","0","0","0","1","0"
"荒川区","1","2","0","0","0","0","0","0","0","0","1","0"
"板橋区","7","3","1","5","0","0","7","0","1","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","4","2","0","1","1","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","13","12","0","0","0","1"
"江戸川","3","3","2","0","1","0","0","0","0","0","2","0"
"八王子市","6","0","2","3","2","0","0","0","0","0","4","1"
"町田市","6","1","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","11","2","2","2","1","0","0","0","0","0","2","1"
"多摩府中","0","0","0","1","0","0","25","8","0","0","3","3"
"多摩小平","0","0","0","0","0","0","2","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","165","94","67","93","9","8","104","40","4","0","55","25"
