"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","63","2","2","2","26","1","14","0","7","2","6","2","0","0","0","4","0","0","1","0","","","","","",""
"区南部","65","1","2","6","33","1","11","0","8","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","78","0","0","1","10","3","3","2","4","0","8","1","1","0","0","1","0","0","0","0","","","","","",""
"区西部","91","2","0","5","39","2","6","1","3","0","3","6","1","0","0","1","0","0","1","0","","","","","",""
"区西北部","131","0","0","3","13","3","6","1","7","1","3","7","1","0","0","2","0","0","0","0","","","","","",""
"区東北部","45","1","0","6","14","5","2","2","3","0","1","5","2","0","1","1","0","0","3","1","","","","","",""
"区東部","86","1","0","2","31","3","10","1","6","0","8","5","1","0","0","1","0","0","0","0","","","","","",""
"西多摩","19","0","0","1","3","2","1","0","2","0","1","3","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","115","1","0","8","34","3","10","2","8","1","25","15","2","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","18","0","1","1","4","1","2","0","2","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","40","0","0","3","3","0","1","1","1","0","1","2","0","0","0","0","0","0","1","0","","","","","",""
"北多摩北部","24","2","0","2","9","1","10","1","1","0","3","1","0","0","0","3","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","775","10","5","41","219","25","77","11","53","4","64","48","9","0","1","13","0","0","6","1","","","","","",""
