"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","1","0","0","15","1","0","0"
"1〜4歳","0","0","0","0","0","0","6","5","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","1","0","0","0","0","0","1","0","0","0"
"15〜19歳","11","1","2","7","3","0","2","0","0","0"
"20〜24歳","37","8","12","16","2","2","0","0","0","0"
"25〜29歳","36","13","8","13","4","0","0","0","0","0"
"30〜34歳","31","7","9","16","3","2","1","0","0","0"
"35〜39歳","19","10","11","11","0","5","0","0","0","0"
"40〜44歳","7","13","12","10","0","2","3","1","0","0"
"45〜49歳","7","14","8","4","1","0","2","0","0","0"
"50〜54歳","2","5","0","3","2","0","3","0","0","0"
"55〜59歳","2","5","5","2","0","1","1","0","1","0"
"60〜64歳","2","2","2","0","0","0","4","1","0","0"
"65〜69歳","3","2","1","1","0","1","5","0","0","0"
"70歳以上","0","4","0","0","2","0","30","2","0","0"
"合計","158","84","70","84","17","13","74","10","1","0"
