"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","7","0","5","1","11","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","19","1","5","0","42","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"1歳","0","0","1","0","33","11","32","1","18","0","1","3","1","3","1","1","0","1","0","0","0","0","0","0"
"2歳","0","0","0","1","36","11","27","0","2","0","0","2","2","10","1","0","0","0","0","0","0","0","0","0"
"3歳","1","0","0","3","32","6","20","7","0","0","1","2","0","13","2","0","0","0","0","0","0","0","0","0"
"4歳","1","0","1","12","41","3","17","6","0","0","0","4","0","17","3","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","11","26","7","18","4","0","0","0","1","1","19","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","2","10","22","5","9","3","0","0","0","1","1","12","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","8","18","1","2","1","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","6","11","1","1","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0"
"9歳","1","0","0","1","12","0","1","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","1","4","26","0","1","0","0","0","0","0","1","7","0","0","0","1","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","13","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","7","58","1","1","0","0","0","0","2","0","3","0","0","0","4","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"40〜49歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","9","0","6","63","354","48","140","25","73","0","2","16","7","104","12","1","0","25","0","0","0","0","0","0"
