"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","19","5","0","0","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","27","3","3","1","20","5","1","2","24","0","3","2","0","1","0","0","1","0","0","0"
"1歳","144","3","1","2","33","9","16","2","38","0","5","3","1","0","0","0","0","0","0","0"
"2歳","173","4","1","0","39","16","21","0","2","0","1","14","2","1","0","0","0","0","0","0"
"3歳","274","0","3","10","25","9","4","1","0","0","3","16","0","0","0","1","0","0","0","0"
"4歳","328","1","1","11","30","13","8","0","0","0","2","11","0","0","0","0","0","0","0","0"
"5歳","440","0","1","16","23","9","3","5","2","0","0","11","0","0","0","0","0","0","0","0"
"6歳","498","0","0","10","19","6","1","2","0","0","1","7","0","0","0","0","0","0","0","0"
"7歳","616","0","0","17","14","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"8歳","611","0","0","12","15","2","0","0","0","0","1","5","1","0","0","0","0","0","1","0"
"9歳","564","0","0","6","18","3","0","0","0","0","0","2","0","0","0","0","0","0","1","0"
"10〜14歳","1922","0","0","14","25","3","2","0","0","0","0","4","1","0","0","0","0","0","1","0"
"15〜19歳","641","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","385","0","0","7","42","1","0","0","0","2","1","1","0","0","0","6","0","0","0","0"
"30〜39歳","343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50〜59歳","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60〜69歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","7330","16","10","107","309","78","57","13","67","2","17","83","5","2","0","14","1","0","3","0"
