"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","1","4","13","9","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","0","3","2","8","12","1","8","1","0","2","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"新宿区","0","4","4","14","19","1","10","1","3","6","0","0","1","0","0","1","0","1","0","0","0","","","","","",""
"文京","2","0","0","7","7","1","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","2","1","0","10","23","1","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","0","1","0","10","0","7","1","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","2","0","1","12","30","2","22","2","4","2","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"品川区","0","3","3","6","31","2","5","1","2","6","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"目黒区","1","0","2","9","22","0","5","0","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","1","13","17","84","4","23","5","3","1","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","7","0","2","18","37","0","38","4","7","6","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","1","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","0","1","1","13","15","1","2","3","2","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","0","1","1","3","31","0","10","1","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","2","1","2","6","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","5","0","0","1","7","4","10","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","3","3","8","13","3","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","1","0","10","18","0","20","2","0","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","5","1","1","8","31","14","24","1","4","5","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","5","0","3","19","42","3","14","4","6","6","2","1","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","1","1","0","11","27","0","20","2","1","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","1","2","5","17","21","1","40","2","2","18","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","2","1","18","54","1","3","2","1","2","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","0","0","0","17","31","2","10","2","2","11","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","3","20","1","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","3","7","17","0","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","0","2","16","23","2","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","4","0","4","36","46","1","13","6","7","11","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩小平","2","0","17","23","61","12","15","3","7","7","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","39","28","75","326","752","60","324","50","71","111","12","10","1","0","8","2","0","2","0","0","0","","","","","",""
