"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","3","1","3","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","9","4","26","3","22","0","0","29","1","0","1","0","0","0","0","0","0","0","0","0"
"1歳","0","0","8","0","19","10","90","2","6","0","0","71","0","0","2","0","0","1","0","0","1","0","0","0"
"2歳","0","0","5","1","23","12","68","0","2","0","0","58","1","0","0","0","0","1","0","0","0","0","0","0"
"3歳","0","0","9","5","17","8","62","4","0","0","1","46","0","4","3","0","0","1","0","0","0","0","0","0"
"4歳","0","0","6","10","13","4","59","1","0","1","0","46","0","4","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","13","5","12","6","60","6","0","0","0","36","0","5","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","3","4","13","2","28","1","0","0","0","15","0","0","0","0","0","0","0","0","1","0","0","0"
"7歳","0","0","4","5","11","3","11","1","0","0","0","10","0","0","0","0","0","0","0","0","0","1","0","0"
"8歳","0","0","3","3","11","1","7","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","2","7","9","1","3","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","1","4","10","0","7","1","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
"20〜29歳","0","0","0","3","27","1","2","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","2"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","55","47","181","53","426","20","33","1","3","329","2","15","6","0","0","13","0","0","2","1","0","5"
