"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","33","37","10","23","0","3","9","2","0","0","",""
"区南部","3","0","0","2","0","0","1","0","0","0","",""
"区西南部","14","4","3","7","0","0","6","1","0","0","",""
"区西部","40","13","24","37","0","6","11","1","0","0","",""
"区西北部","16","9","11","4","0","1","3","2","0","0","",""
"区東北部","3","1","0","2","0","0","3","6","0","0","",""
"区東部","22","8","5","16","0","0","6","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","0","",""
"北多摩西部","1","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","34","13","2","0","",""
"北多摩北部","0","0","0","0","0","0","1","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","132","72","53","91","0","10","75","30","2","0","",""
