"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","6","16","882","2","3","37","81","13","4","4","6","1","3","4","0","0","1","0","0","0","1","0","0","1","","","","","","",""
"区南部","5","10","606","1","5","39","58","17","7","9","6","2","1","1","1","0","1","0","0","0","0","0","0","0","","","","","","",""
"区西南部","3","13","925","1","1","33","53","8","3","5","1","1","2","1","0","0","1","2","0","0","0","0","0","2","","","","","","",""
"区西部","2","24","909","1","9","43","54","14","1","7","2","2","0","0","0","0","0","0","0","1","0","1","0","1","","","","","","",""
"区西北部","8","28","1476","1","7","64","109","30","2","10","3","0","2","1","1","0","1","0","0","1","0","0","0","1","","","","","","",""
"区東北部","3","23","1210","1","10","33","71","5","1","27","2","1","1","0","1","0","3","0","0","0","0","0","0","0","","","","","","",""
"区東部","4","21","1082","5","10","33","86","8","3","3","3","3","0","1","0","0","3","0","0","0","0","1","0","0","","","","","","",""
"西多摩","0","2","162","1","0","3","11","2","0","7","1","0","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","",""
"南多摩","3","23","2264","2","14","71","160","13","2","19","8","2","2","5","0","0","1","0","0","0","0","0","2","2","","","","","","",""
"北多摩西部","4","10","409","1","1","31","10","5","1","2","2","0","1","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"北多摩南部","2","15","1052","1","4","37","51","14","1","2","1","0","1","2","0","0","1","0","0","1","0","0","0","4","","","","","","",""
"北多摩北部","7","10","835","1","7","50","59","12","1","8","3","1","2","1","0","0","1","0","0","0","0","0","2","3","","","","","","",""
"島しょ","0","2","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"合計","47","197","11821","18","71","474","805","141","26","103","38","13","15","16","3","0","14","2","0","4","1","2","5","19","","","","","","",""
