"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","23","1","0","5","0","1","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","56","1","0","40","0","14","1","21","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","107","9","8","97","0","66","4","30","32","1","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","37","7","12","59","1","28","8","1","20","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","1","31","6","14","44","2","29","17","1","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","7","6","6","23","28","3","10","22","0","11","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","3","3","3","26","31","3","5","40","1","8","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","3","2","2","27","26","2","3","21","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","3","1","0","16","20","1","3","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","2","0","0","14","16","1","1","11","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","4","0","0","11","10","1","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","7","1","1","15","32","1","1","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","3","12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","1","1","15","62","0","3","3","0","4","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","45","268","37","184","482","15","166","142","54","117","12","20","2","0","14","0","1","0","0","0","0","0","0","0","0","0","0","0"
