"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","16","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","44","7","2","1","8","0","4","1","0","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","37","0","0","0","3","0","0","0","2","0","0","2","0","0","0","2","0","0","0","0","","","","","",""
"文京","26","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"台東","21","3","0","1","3","0","7","1","1","1","1","1","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","46","0","0","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"江東区","56","0","0","4","14","0","0","1","2","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","33","0","0","1","9","0","1","0","2","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","12","0","0","0","4","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"大田区","93","0","0","5","20","5","4","1","1","0","7","1","3","0","0","0","0","0","0","0","","","","","",""
"世田谷","109","0","0","1","1","1","0","2","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","25","0","0","1","5","0","2","0","1","0","2","0","1","0","0","0","0","0","0","0","","","","","",""
"中野区","63","0","0","2","10","0","3","1","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","37","0","0","0","9","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","26","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","30","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"荒川区","7","0","0","1","2","1","3","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","60","0","0","0","5","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","79","1","0","0","1","3","0","0","2","0","3","0","0","0","0","1","0","0","0","0","","","","","",""
"足立","25","0","0","0","4","4","1","0","3","0","1","1","0","0","1","0","0","0","0","0","","","","","",""
"葛飾区","44","0","0","1","1","3","3","0","4","0","2","0","1","1","1","0","0","0","2","0","","","","","",""
"江戸川","63","0","0","0","8","0","3","3","5","0","10","5","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","63","0","0","5","12","1","3","0","2","1","4","3","1","0","0","0","0","0","0","0","","","","","",""
"町田市","35","0","0","2","15","1","4","1","2","0","8","7","1","0","0","0","0","0","0","0","","","","","",""
"西多摩","55","0","0","1","5","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","42","0","0","4","1","1","0","0","1","0","1","5","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","50","0","0","0","7","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","65","0","0","2","2","0","3","0","0","0","1","6","0","0","0","0","0","0","1","0","","","","","",""
"多摩小平","76","1","1","6","10","3","1","0","0","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","5","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"合計","1348","12","3","39","165","24","52","11","39","2","62","45","8","1","3","5","0","0","3","0","","","","","",""
