"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","1","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"中央区","2","0","3","2","8","2","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","1","1","4","11","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","1","2","9","20","2","1","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","0","0","7","9","1","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","2","8","15","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","1","1","4","10","1","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","2","5","11","89","8","2","1","4","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","3","9","37","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","11","14","2","3","3","1","0","0","1","1","1","0","0","0","0","0","0","0","0","","","","","",""
"大田区","1","0","18","27","68","19","0","3","4","1","0","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","1","1","3","20","62","10","0","9","7","0","2","0","2","1","0","0","0","0","0","0","2","0","","","","","",""
"渋谷区","0","1","1","3","7","0","1","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"中野区","0","0","1","17","26","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","0","0","3","6","27","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","4","7","13","0","1","0","3","0","1","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","0","0","2","10","18","2","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","1","4","15","10","2","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","0","5","14","4","5","1","2","1","0","0","0","1","0","2","0","0","0","0","0","0","","","","","",""
"練馬区","7","0","7","35","28","7","0","0","4","0","1","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","0","2","41","70","16","2","1","4","0","8","2","0","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","0","10","37","2","2","2","2","0","1","1","2","0","0","1","0","0","1","0","0","0","","","","","",""
"江戸川","0","0","0","23","42","7","3","5","7","0","5","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","1","12","42","85","7","1","9","7","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","0","0","2","30","38","12","7","3","5","0","6","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","2","10","28","2","1","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","31","29","7","0","1","8","0","2","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","2","3","1","26","32","7","0","1","7","0","1","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"多摩府中","0","1","4","42","81","8","1","5","6","0","0","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","0","0","13","58","51","6","1","6","7","0","1","0","0","0","0","4","0","1","0","0","0","0","","","","","",""
"島しょ","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","14","13","100","536","989","142","33","56","109","2","30","28","12","4","0","13","0","1","1","0","3","0","","","","","",""
