"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","2","0","0"
"1〜4歳","0","0","0","0","0","0","2","3","0","0"
"5〜9歳","0","0","0","0","0","0","4","2","0","0"
"10〜14歳","0","0","0","0","0","0","6","1","0","0"
"15〜19歳","1","0","1","1","0","0","1","0","0","0"
"20〜24歳","18","5","6","6","1","1","0","0","0","0"
"25〜29歳","36","6","9","18","0","1","0","0","0","0"
"30〜34歳","31","14","9","11","0","1","0","1","0","0"
"35〜39歳","28","17","10","14","1","3","0","1","0","0"
"40〜44歳","12","11","8","10","0","3","3","0","0","0"
"45〜49歳","14","12","7","8","1","3","1","0","0","0"
"50〜54歳","7","8","5","5","0","0","1","0","1","0"
"55〜59歳","2","3","2","0","0","2","2","0","0","0"
"60〜64歳","2","3","3","0","0","1","2","1","0","0"
"65〜69歳","1","3","2","0","0","0","4","1","0","0"
"70歳以上","0","4","1","0","0","0","29","7","1","0"
"合計","152","86","63","73","3","15","62","19","2","0"
