"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","24","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0"
"〜1歳","100","3","1","2","51","1","0","0","7","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"1歳","320","11","3","6","108","2","2","6","27","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","1"
"2歳","369","5","5","13","97","1","2","12","2","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"3歳","447","0","0","29","71","3","1","15","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","531","2","2","31","80","6","0","26","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","2","0"
"5歳","553","0","0","31","69","11","0","27","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","559","0","2","41","48","5","2","20","0","0","3","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","2","0"
"7歳","471","0","0","26","37","2","1","14","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"8歳","424","0","1","27","37","3","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","1","2"
"9歳","387","0","0","18","32","3","0","10","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","2","1"
"10〜14歳","1298","0","1","25","89","3","1","11","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","380","0","0","2","30","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"20〜29歳","548","0","0","20","207","2","1","4","0","0","0","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","889","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0"
"40〜49歳","964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","3","0"
"50〜59歳","514","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","1"
"60〜69歳","342","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6","0","0","1","0","0","5","1"
"70〜79歳","283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","2","0","2","1","0","16","2"
"80歳以上","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","49","1","1","4","0","0","44","4"
"合計","9543","26","15","271","960","42","10","154","40","1","10","5","1","0","6","0","1","2","1","2","102","6","1","13","1","0","85","13"
