"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","35","0","0","2","0","4","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","45","2","0","25","3","32","0","15","15","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","12","98","10","2","69","1","95","2","26","34","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","6","34","6","16","34","3","66","3","8","24","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","11","13","8","26","36","0","61","2","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","13","6","4","26","42","1","43","4","2","10","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5歳","21","2","5","23","40","4","30","6","2","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","14","1","4","21","30","8","25","4","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","19","1","1","28","19","5","8","3","0","10","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","21","0","2","6","18","4","5","2","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","14","0","0","17","13","4","4","0","0","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","37","0","0","21","33","3","5","1","0","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","4","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","21","2","0","6","42","0","3","0","0","5","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","231","237","42","193","410","36","381","27","58","153","13","8","3","0","7","0","1","4","1","0","2","0","0","0","0","0","2","0"
