"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","2","3","0","0"
"1〜4歳","0","0","0","0","0","0","5","19","0","0"
"5〜9歳","0","0","0","0","0","0","1","2","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0","0"
"15〜19歳","13","5","2","8","1","0","0","0","0","0"
"20〜24歳","34","7","9","16","2","0","0","0","0","0"
"25〜29歳","42","11","11","20","3","1","1","0","0","0"
"30〜34歳","38","21","10","19","0","2","4","1","0","0"
"35〜39歳","27","12","10","13","0","1","0","1","0","0"
"40〜44歳","9","10","5","9","0","0","2","1","0","0"
"45〜49歳","12","10","6","6","0","0","5","0","0","0"
"50〜54歳","7","12","5","3","0","1","1","0","0","0"
"55〜59歳","3","4","2","4","0","1","2","0","0","0"
"60〜64歳","2","3","0","3","1","0","9","2","0","0"
"65〜69歳","1","5","2","0","0","0","7","6","1","0"
"70歳以上","0","2","1","0","1","0","47","11","1","0"
"合計","188","102","63","101","8","6","87","47","2","0"
