"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","8","15","6","0","0","3","0","0","",""
"区南部","32","9","7","14","0","0","5","0","0","",""
"区西南部","7","1","8","11","0","0","4","1","0","",""
"区西部","19","4","2","12","0","0","13","0","1","",""
"区西北部","8","3","0","3","0","0","2","0","0","",""
"区東北部","1","0","0","0","0","0","0","0","0","",""
"区東部","13","7","5","6","0","0","3","1","0","",""
"西多摩","0","0","0","0","0","0","2","0","0","",""
"南多摩","0","0","0","0","0","0","3","0","1","",""
"北多摩西部","0","0","0","0","0","0","2","0","0","",""
"北多摩南部","1","0","0","0","0","0","2","1","1","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","96","32","37","52","0","0","41","3","3","",""
