"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","4","15","0","0","8","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","7","47","4","0","40","0","3","0","10","59","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","5","14","95","13","2","61","0","10","0","17","178","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","6","12","63","7","10","72","1","7","1","2","200","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","5","15","37","7","11","63","1","14","0","1","187","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","9","9","24","4","27","62","0","10","1","1","150","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","8","11","9","2","36","49","1","5","0","1","100","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","14","11","7","2","32","42","1","6","2","0","50","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","16","15","3","1","26","36","1","1","1","0","24","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","18","14","0","2","22","29","5","1","0","0","18","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","14","17","0","0","11","20","1","1","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","26","135","3","0","13","42","2","1","0","0","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","11","180","0","0","1","9","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","6","206","1","0","21","46","1","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","12","159","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","20","199","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","105","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","181","1447","304","42","212","579","14","59","5","33","998","5","13","1","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0"
