"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","3","0"
"1〜4歳","0","0","0","0","0","0","2","7","0"
"5〜9歳","0","0","0","0","0","0","3","1","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","9","2","2","5","2","0","0","0","0"
"20〜24歳","35","11","5","9","3","1","3","0","0"
"25〜29歳","27","10","6","7","4","0","1","1","0"
"30〜34歳","7","13","1","2","1","0","3","1","0"
"35〜39歳","8","0","0","1","8","0","3","2","0"
"40〜44歳","3","3","0","1","1","1","3","1","0"
"45〜49歳","2","2","0","1","0","0","3","0","0"
"50〜54歳","0","1","0","0","0","0","1","1","0"
"55〜59歳","0","1","0","0","1","0","1","0","0"
"60〜64歳","0","1","0","0","2","0","5","1","0"
"65〜69歳","0","0","0","0","0","0","2","0","1"
"70歳以上","0","1","0","0","0","0","17","0","0"
"合計","91","45","14","26","22","2","48","18","1"
