"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","12","7","0"
"1〜4歳","0","0","0","0","0","0","8","12","0"
"5〜9歳","0","0","0","0","0","0","2","1","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","12","1","2","5","0","0","2","0","1"
"20〜24歳","36","15","11","12","11","1","2","0","0"
"25〜29歳","37","13","13","19","7","2","4","0","0"
"30〜34歳","22","18","5","14","2","1","2","0","0"
"35〜39歳","19","9","5","9","4","1","4","1","0"
"40〜44歳","11","11","6","6","4","2","2","0","0"
"45〜49歳","4","7","2","5","2","1","4","0","0"
"50〜54歳","5","5","1","1","0","0","4","0","0"
"55〜59歳","1","6","1","1","0","0","4","0","0"
"60〜64歳","0","7","0","0","0","0","9","0","0"
"65〜69歳","0","1","0","0","0","0","8","2","0"
"70歳以上","0","0","1","0","0","0","71","3","1"
"合計","147","93","47","72","30","8","139","26","2"
