"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","7","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","46","5","2","3","33","0","0","1","17","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"1歳","176","2","11","15","99","3","4","1","36","0","0","1","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","3","0"
"2歳","212","1","10","25","80","3","4","0","5","0","0","3","1","0","0","0","0","0","0","0","1","1","1","0","1","0","1","0","1"
"3歳","253","1","2","29","64","4","0","0","3","0","0","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","311","0","6","47","82","3","0","3","1","0","0","3","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0"
"5歳","298","0","6","40","58","4","2","7","0","0","0","8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6歳","298","0","2","42","57","8","0","1","0","0","1","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","289","0","2","24","55","4","0","1","0","0","0","9","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0"
"8歳","265","0","2","22","63","4","0","1","0","0","0","4","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"9歳","223","0","0","15","60","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","836","0","0","34","134","3","0","2","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1"
"15〜19歳","241","0","0","2","26","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","216","1","0","12","77","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","6","1"
"80歳以上","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","3","0","0","19","3"
"合計","4535","10","43","310","893","37","11","18","62","0","1","49","4","0","0","4","0","0","3","0","3","42","2","0","7","0","1","35","7"
