"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","11","3","5","16","0","1","2","0","0","0","2","2"
"中央区","12","5","0","3","1","0","0","0","0","0","3","0"
"みなと","12","26","11","5","0","1","7","0","0","0","2","1"
"新宿区","33","17","24","28","0","10","6","0","0","0","7","2"
"文京","2","1","1","2","0","0","4","0","0","0","1","1"
"台東","6","1","0","0","0","0","0","0","0","0","2","0"
"墨田区","4","1","2","2","0","0","5","3","0","0","2","1"
"江東区","13","6","4","5","0","0","0","0","0","0","2","0"
"品川区","10","3","2","7","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","6","0","0","0","0","0","1","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","7","5","0","0","0","2"
"渋谷区","10","10","3","9","0","0","0","0","0","0","5","1"
"中野区","1","3","1","3","3","2","1","0","0","0","2","1"
"杉並","0","0","0","0","0","0","1","0","0","0","2","1"
"池袋","19","10","10","8","0","0","3","4","0","0","3","1"
"北区","2","0","1","0","0","0","0","0","0","0","1","0"
"荒川区","4","2","0","3","0","0","0","0","0","0","1","0"
"板橋区","6","2","1","4","0","0","2","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","1","0","0","3","0","1","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","5","7","0","0","0","1"
"江戸川","2","0","0","3","0","0","0","0","0","0","1","0"
"八王子市","4","0","1","0","0","0","0","0","0","0","4","1"
"町田市","2","1","0","2","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","15","2","0","3","0","0","0","0","0","0","2","1"
"多摩府中","1","0","0","1","0","0","27","23","0","0","3","3"
"多摩小平","0","0","0","1","0","0","5","4","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","176","93","66","108","4","15","77","46","0","0","54","25"
