"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","",""
"中央区","15","0","0","0","3","1","0","0","1","0","0","1","0","0","0","2","0","0","0","0","","","","","",""
"みなと","42","1","2","5","21","2","0","1","2","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"新宿区","37","0","0","4","20","4","0","0","0","0","0","0","0","0","0","2","0","1","1","0","","","","","",""
"文京","23","0","0","1","15","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"台東","25","0","0","1","23","6","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","50","0","0","1","10","7","0","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"江東区","47","0","0","4","37","3","0","2","1","0","0","5","1","0","0","0","0","0","0","0","","","","","",""
"品川区","22","0","3","5","28","7","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","8","0","1","1","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","69","2","3","2","42","9","1","6","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","68","0","1","1","48","11","0","0","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","23","0","0","0","19","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"中野区","41","0","0","0","22","2","0","0","4","0","0","2","0","1","0","0","0","0","0","0","","","","","",""
"杉並","26","0","0","8","30","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","27","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","32","0","0","1","9","15","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","18","0","0","1","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","55","0","0","0","12","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","77","0","0","2","24","15","0","0","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"足立","71","0","1","2","18","8","0","0","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","39","0","0","4","18","10","0","0","2","0","0","4","1","0","0","0","0","0","1","1","","","","","",""
"江戸川","88","1","0","38","21","9","0","0","1","0","0","7","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","76","0","1","23","38","6","0","0","0","0","0","5","0","0","0","2","0","0","0","0","","","","","",""
"町田市","77","1","0","20","42","15","0","6","3","0","0","7","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","81","0","0","4","18","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","39","0","0","1","11","11","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","69","0","0","0","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","99","1","0","4","13","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","","","","","",""
"多摩小平","97","1","1","9","33","10","2","0","6","0","0","10","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","4","0","2","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1452","7","15","142","612","180","3","18","35","0","0","68","3","2","0","6","0","1","4","1","","","","","",""
